seq,timestamp_ms,red,ir,red_corrected,ir_corrected,time_diff
2077,176658,41068,100727,-39.8021837098632,133.45731089983735,25.0
2081,176743,41055,100726,-52.65738352837474,130.4884666370719,25.0
2082,176759,41068,100729,-39.194451722171216,132.7298723618587,16.0
2083,176775,41065,100748,-41.798807529438605,150.57767158175014,16.0
2084,176796,41050,100733,-56.40909173779933,134.97476273507226,21.0
2087,176862,41059,100733,-45.91607587462468,132.79362169537916,26.0
2088,176878,41066,100726,-38.543415878255686,124.97800632268816,16.0
2089,176894,41062,100737,-42.561640978832,135.50850971531665,16.0
2090,176925,41063,100736,-42.083620775148624,133.85559046157277,31.0
2091,176946,41062,100731,-43.30738306310568,128.33485830664742,21.0
2092,176967,41064,100737,-40.55785338447167,133.58927387711586,21.0
2093,176980,41058,100715,-46.2098559473974,110.86332995085576,13.0
2095,177023,41055,100721,-49.41206516367672,115.77762833064251,23.0
2096,177049,41059,100723,-45.07688032231447,117.3170404476658,26.0
2098,177074,41063,100714,-39.8879432460974,107.163686766084,5.0
2100,177118,41055,100695,-47.47639168741582,87.29097524857066,24.0
2103,177173,41047,100701,-56.18080896885127,91.95287151368434,15.0
2104,177204,41048,100712,-54.243138111585225,102.46287939857967,31.0
2105,177220,41053,100718,-49.23132556748187,107.97625926533016,16.0
2106,177243,41053,100710,-49.33697160863137,98.49861687687168,23.0
2107,177267,41052,100715,-49.759177892604455,103.29264152066092,24.0
2109,177298,41051,100730,-49.71303487030284,117.51942460948656,11.0
2112,177354,41054,100738,-45.75632433527408,123.60827117221297,16.0
2113,177385,41070,100744,-29.358525320157604,129.3569770949405,31.0
2114,177413,41053,100741,-46.19613285849582,125.50085442488496,28.0
2116,177453,41063,100749,-35.942052596837705,131.86260935146373,0.0
2119,177504,41062,100748,-36.68396138018692,129.60991451660132,31.0
2120,177522,41056,100748,-42.41200119974472,128.31857697141817,18.0
2122,177570,41045,100754,-52.93435949663048,133.49373155786367,28.0
2123,177583,41048,100757,-49.70468540173813,135.8416789638256,13.0
2127,177660,41048,100727,-48.62716921334215,103.52394555819356,17.0
2128,177676,41049,100725,-47.45926600771897,100.7347563773336,16.0
2129,177701,41041,100715,-55.54540686570438,90.43241646630608,25.0
2130,177715,41039,100722,-57.40776776474993,97.02183311018004,14.0
2133,177786,41049,100697,-46.35509937285466,70.41097150641225,31.0
2134,177802,41038,100701,-57.20464038048102,74.01814580175723,16.0
2135,177818,41039,100712,-56.413107813759446,84.85234326004243,16.0
2136,177834,41028,100702,-66.54386078798974,74.47964709058176,16.0
2137,177856,41040,100700,-54.486661468958886,72.11126831770454,22.0
2139,177898,41039,100707,-55.05942770446553,78.20770950610454,22.0
2141,177936,41037,100721,-56.17703839431395,91.28507908321885,18.0
2142,177968,41039,100708,-54.381510985829806,78.10432189403302,32.0
2143,177984,41007,100706,-85.8811540911389,75.79222381172148,16.0
2144,178008,41040,100708,-52.61221515534901,77.28037696677556,24.0
2146,178052,41033,100722,-59.07422742600593,90.23058517383596,24.0
2148,178088,41024,100721,-67.46467933223101,88.23621011261554,16.0
2149,178104,41002,100757,-89.16791814106763,123.58369720517076,16.0
2150,178120,41039,100731,-51.78090602356832,97.09834005301732,16.0
2151,178143,41046,100748,-45.36621532220711,113.45489759570962,23.0
2152,178167,41040,100730,-51.18232886474235,95.0034970249059,24.0
2155,178229,41042,100739,-48.20692099741896,102.27112077291892,22.0
2156,178245,41044,100762,-46.0443215771212,124.560590033107,16.0
2157,178261,41040,100743,-50.09811131805566,105.35501224977592,16.0
2158,178277,41045,100734,-44.75460591846885,95.88705577350858,16.0
2159,178301,41034,100741,-55.41965920791178,102.35454071455776,24.0
2162,178363,41034,100736,-54.438584712388455,95.61941369465193,22.0
2163,178379,41028,100736,-60.31375509659948,95.13020653256446,16.0
2164,178395,41025,100733,-62.572839217200304,91.7819812897859,16.0
2165,178426,41027,100721,-59.95487520390032,79.31800015648052,31.0
2166,178449,41025,100713,-62.05328172946206,71.11118789553511,23.0
2168,178482,41017,100717,-69.8215188027926,74.46745984002101,13.0
2171,178539,41019,100701,-66.56604210421729,57.441022937750986,17.0
2172,178557,41032,100707,-53.477006252787135,62.98291430935326,18.0
2173,178575,41020,100711,-64.85910679670046,66.5949467700436,18.0
2174,178603,41023,100723,-61.53883838278644,78.221346396971,28.0
2176,178631,41023,100715,-61.01145311819752,69.57222398920457,8.0
2179,178708,41022,100721,-61.138679872368144,74.2393077651625,37.0
2180,178725,41016,100732,-66.56014122542592,84.94380724004304,17.0
2181,178753,41014,100724,-68.65660657284866,76.68921687450947,28.0
